"date","name","yes"
1893-08-20,"""Ban on ritual slaughter without prior anaesthetisation""",60.11
1894-06-03,"""Guarantee of the right to work""",19.75
1894-11-04,"""Sharing of a portion of customs revenue among the cantons""",29.32
1900-11-04,"""Public election of the cabinet and increase in the number of its members""",35.04
1900-11-04,"""Proportional election of the House of Representatives""",40.86
1903-10-25,"""Election of the House of Representatives based on the number of the Swiss resident population""",24.38
1908-07-05,"""Ban on absinthe""",63.48
1910-10-23,"""Proportional election of the House of Representatives""",47.54
1918-06-02,"""Introduction of a direct federal tax""",45.93
1918-10-13,"""Proportional election of the House of Representatives""",66.78
1920-03-21,"Constitutional amendment ban on opening casinos",55.3
1921-01-30,"""Abolition of military courts""",33.57
1921-01-30,"""For the introduction of a referendum on treaties with unlimited duration or with a duration of more than 15 years (Referendum on international treaties)""",71.35
1922-06-11,"""Eligibility of civil servants for the House of Representatives""",38.35
1922-06-11,"""Expulsion of foreigners (Part II)""",38.08
1922-06-11,"""Naturalisation (Part I)""",15.91
1922-12-03,"""For a one-off wealth tax""",12.96
1923-02-18,"""Preventive detention"" (Swiss citizens endangering internal security)""",11.01
1923-04-15,"""Maintaining and protecting the people's rights in customs matters""",26.77
1925-05-24,"""Disability, old age-, widows- and orphans insurance""",42
1928-12-02,"""Casinos""",51.92
1929-03-03,"Constitutional amendment on the supply of cereals",2.68
1929-05-12,"""Ban on alcoholic beverages by cantons and communes""",32.65
1929-05-12,"""Legislative powers over road traffic""",37.15
1935-06-02,"""Measures against the economic crisis""",42.84
1935-09-08,"""General reform of the constitution""",27.71
1937-11-28,"""Ban on freemasonry""",31.32
1938-02-20,"Constitutional amendment on private armament industry",13.6
1938-02-20,"""Emergency law and protection of democratic rights (Submission of emergency law to referendum)""",15.22
1939-01-22,"""Maintaining and protecting the constitutional rights of citizens (Extension of constitutional jurisdiction)""",28.92
1941-03-09,"""Reform of alcohol legislation""",40.23
1942-01-25,"""Public election of the cabinet and increase in the number of its members""",32.43
1942-05-03,"""Reorganisation of the House of Representatives""",34.95
1946-12-08,"Constitutional amendment on the right to work",19.19
1947-05-18,"Constitutional amendment on economic reform and labour legislation",31.19
1949-09-11,"""Return to direct democracy (Regulation on emergency legislation)""",50.74
1950-10-01,"""Protecting land and work by preventing speculation""",27.01
1951-04-15,"Constitutional amendment guarantee of purchasing power and full employment",12.45
1951-07-08,"""Taxation of public enterprises for the benefit of national defence""",32.65
1952-04-20,"""Federal sales tax""",18.97
1952-05-18,"""Taxation for the national defence and social achievements""",43.74
1954-12-05,"""Protection of rivers and the Rheinau bequest""",31.24
1955-03-13,"Protection of consumers and tenants (Continuation of price control)",50.74
1956-05-13,"""Distribution of concessions for the use of hydro-power""",36.92
1958-01-26,"""Against the misuse of economic power""",25.89
1958-10-26,"""44-hour working week""",34.99
1961-10-22,"""Introduction of legislative initiative at the federal level""",29.44
1962-04-01,"""Ban on nuclear weapons""",34.82
1963-05-26,"""Right of Swiss citizens to decide whether the Swiss army should have nuclear weapons""",37.79
1966-10-16,"""Control alcoholism""",23.37
1967-07-02,"""Against land speculation""",32.69
1970-06-07,"""Limiting the number of foreigners (Over-foreignisation)""",45.99
1970-09-27,"""Right to housing and better protection of families""",48.92
1972-03-05,"""Right to housing and better protection of families""",30.13
1972-09-24,"""Stricter control of armament industry and ban on arms exports""",49.67
1972-12-03,"For a real old age and sickness pension and constitutional amendment on disability, old age-, widows- and orphans insurance",16.58
1974-10-20,"""Limiting the number of foreigners""",34.19
1974-12-08,"Fair health insurance and a reform of health-, accident and maternity insurance system",27.55
1976-03-21,"Constitutional amendment on workers' participation in decision-making",32.82
1976-03-21,"""Reform of taxes (Fairer taxes and abolition of tax privileges)""",42.22
